quarter,time,score,team,description
4,9:47.0,105-92,Clippers,K. Leonard makes 2-pt dunk from 1 ft
4,9:22.0,105-92,76ers,A. Bona misses 2-pt jump shot from 7 ft (block by I. Zubac)
4,9:21.0,105-92,76ers,Offensive rebound by Team
4,9:21.0,105-92,76ers,Turnover by Team (shot clock)
4,9:02.0,105-92,Clippers,K. Leonard misses 2-pt jump shot from 15 ft
4,9:01.0,105-92,Clippers,Offensive rebound by Team
4,9:01.0,105-92,76ers,Loose ball foul by A. Bona (drawn by I. Zubac)
4,8:52.0,105-92,Clippers,Turnover by B. Lopez (step out of bounds)
4,8:34.0,105-92,76ers,Q. Grimes misses 3-pt jump shot from 28 ft
4,8:29.0,105-92,76ers,Offensive rebound by D. Barlow
4,8:23.0,107-92,76ers,D. Barlow makes 2-pt layup from 5 ft (assist by T. Maxey)
4,8:23.0,107-92,76ers,Shooting foul by B. Lopez (drawn by D. Barlow)
4,8:23.0,108-92,76ers,D. Barlow makes free throw 1 of 1
4,8:05.0,108-94,Clippers,J. Miller makes 2-pt jump shot from 3 ft
4,7:49.0,111-94,76ers,D. Barlow makes 3-pt jump shot from 23 ft (assist by T. Maxey)
4,7:29.0,111-97,Clippers,B. Lopez makes 3-pt jump shot from 23 ft (assist by K. Leonard)
4,7:10.0,113-97,76ers,T. Maxey makes 2-pt jump shot from 17 ft
