quarter,time,score,team,description
3,0:51.0,79-80,Bulls,A. Dosunmu makes 3-pt jump shot from 26 ft
3,0:37.0,82-80,76ers,T. Maxey makes 3-pt jump shot from 26 ft
3,0:29.0,82-80,Bulls,Shooting foul by A. Bona (drawn by T. Jones)
3,0:29.0,82-81,Bulls,T. Jones makes free throw 1 of 2
3,0:29.0,82-81,Bulls,I. Okoro enters the game for J. Smith
3,0:29.0,82-81,Bulls,T. Jones misses free throw 2 of 2
3,0:27.0,82-81,76ers,Defensive rebound by P. George
3,0:12.0,85-81,76ers,P. George makes 3-pt jump shot from 26 ft (assist by T. Maxey)
3,0:06.0,85-81,Bulls,T. Jones misses 2-pt layup from 4 ft (block by T. Maxey)
3,0:03.0,85-81,76ers,Defensive rebound by J. McCain
3,0:02.0,85-81,76ers,J. McCain misses 3-pt jump shot from 26 ft
3,0:02.0,85-81,Bulls,Defensive rebound by Z. Collins
4,11:50.0,88-81,76ers,P. George makes 3-pt jump shot from 26 ft (assist by V. Edgecombe)
4,11:27.0,88-83,Bulls,C. White makes 2-pt jump shot from 9 ft (assist by J. Giddey)
4,11:07.0,88-83,76ers,P. George misses 3-pt jump shot from 25 ft
4,11:04.0,88-83,Bulls,Defensive rebound by J. Giddey
4,11:01.0,88-83,Bulls,Turnover by J. Giddey (lost ball; steal by J. McCain)
4,10:56.0,88-83,76ers,J. McCain misses 3-pt jump shot from 23 ft
4,10:55.0,88-83,Bulls,Defensive rebound by C. White
4,10:47.0,88-83,Bulls,Shooting foul by J. McCain (drawn by C. White)
4,10:47.0,88-84,Bulls,C. White makes free throw 1 of 2
4,10:47.0,88-84,76ers,D. Barlow enters the game for J. McCain
4,10:47.0,88-85,Bulls,C. White makes free throw 2 of 2
4,10:36.0,88-85,76ers,Shooting foul by J. Smith (drawn by A. Bona)
4,10:36.0,88-85,76ers,A. Bona misses free throw 1 of 2
4,10:36.0,88-85,76ers,Offensive rebound by Team
4,10:36.0,89-85,76ers,A. Bona makes free throw 2 of 2
