quarter,time,score,team,description
3,9:21.0,57-65,Mavericks,C. Flagg makes free throw 2 of 2
3,9:05.0,57-65,Rockets,A. Thompson misses 2-pt jump shot from 10 ft
3,9:03.0,57-65,Rockets,Offensive rebound by A. Şengün
3,8:59.0,57-65,Rockets,T. Eason misses 3-pt jump shot from 27 ft
3,8:58.0,57-65,Rockets,Offensive rebound by A. Thompson
3,8:58.0,57-65,Rockets,J. Smith misses 3-pt jump shot from 25 ft
3,8:56.0,57-65,Rockets,Offensive rebound by A. Şengün
3,8:55.0,57-65,Rockets,Shooting foul by C. Flagg (drawn by A. Thompson)
3,8:55.0,57-66,Rockets,A. Thompson makes free throw 1 of 2
3,8:55.0,57-67,Rockets,A. Thompson makes free throw 2 of 2
3,8:38.0,57-67,Mavericks,P. Washington misses 2-pt layup from 4 ft
3,8:37.0,57-67,Mavericks,Offensive rebound by D. Gafford
3,8:37.0,59-67,Mavericks,D. Gafford makes 2-pt dunk at rim
3,8:23.0,59-69,Rockets,A. Thompson makes 2-pt layup from 4 ft
3,8:12.0,62-69,Mavericks,M. Christie makes 3-pt jump shot from 25 ft (assist by C. Flagg)
3,7:57.0,62-69,Rockets,T. Eason misses 2-pt jump shot from 17 ft
3,7:56.0,62-69,Rockets,Offensive rebound by J. Smith
3,7:56.0,62-71,Rockets,J. Smith makes 2-pt layup at rim
3,7:37.0,62-71,Mavericks,M. Christie misses 2-pt jump shot from 7 ft (block by J. Smith)
3,7:37.0,62-71,Rockets,Defensive rebound by A. Şengün
3,7:33.0,62-73,Rockets,T. Eason makes 2-pt dunk from 2 ft (assist by A. Thompson)
3,7:13.0,64-73,Mavericks,P. Washington makes 2-pt jump shot from 6 ft
3,6:55.0,64-76,Rockets,T. Eason makes 3-pt jump shot from 23 ft (assist by K. Durant)
3,6:42.0,64-76,Mavericks,M. Christie misses 2-pt layup from 4 ft
3,6:41.0,64-76,Rockets,Defensive rebound by A. Şengün
3,6:27.0,64-76,Rockets,Shooting foul by P. Washington (drawn by A. Şengün)
3,6:27.0,64-77,Rockets,A. Şengün makes free throw 1 of 2
3,6:27.0,64-77,Mavericks,M. Cisse enters the game for D. Gafford
3,6:27.0,64-77,Mavericks,K. Thompson enters the game for N. Marshall
3,6:27.0,64-77,Rockets,J. Okogie enters the game for J. Smith
3,6:27.0,64-77,Rockets,A. Şengün misses free throw 2 of 2
3,6:25.0,64-77,Mavericks,Defensive rebound by C. Flagg
3,6:08.0,67-77,Mavericks,M. Christie makes 3-pt jump shot from 26 ft (assist by C. Flagg)
3,5:58.0,67-79,Rockets,A. Thompson makes 2-pt layup from 3 ft
3,5:42.0,69-79,Mavericks,C. Flagg makes 2-pt jump shot from 7 ft
3,5:29.0,69-79,Rockets,Turnover by A. Şengün (lost ball; steal by P. Washington)
3,5:25.0,69-79,Mavericks,Turnover by P. Washington (lost ball; steal by K. Durant)
